Bezig: 560 sec, ETA: 40 sec, Simulatie: 29250, Validation: -8.3, Beloning: -2, Batch Size 64, Epsilon: 0.01, ID: xffe1781e3, penalty: 0.4, loss: 0.44, aantal experiences: 100000
Bezig: 565 sec, ETA: 35 sec, Simulatie: 29500, Validation: -8.3, Beloning: -3, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.4, loss: 0.41, aantal experiences: 100000
Bezig: 569 sec, ETA: 31 sec, Simulatie: 29750, Validation: -8.3, Beloning: 5, Batch Size 64, Epsilon: 0.01, ID: xfde3781e3, penalty: 0.1, loss: 0.46, aantal experiences: 100000
Bezig: 574 sec, ETA: 26 sec, Simulatie: 30000, Validation: -8.3, Beloning: -3, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.4, loss: 0.32, aantal experiences: 100000
Bezig: 579 sec, ETA: 21 sec, Simulatie: 30250, Validation: -6.8, Beloning: -10, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.7, loss: 0.3, aantal experiences: 100000
Bezig: 583 sec, ETA: 17 sec, Simulatie: 30500, Validation: -8.3, Beloning: -3, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.4, loss: 0.29, aantal experiences: 100000
Bezig: 588 sec, ETA: 12 sec, Simulatie: 30750, Validation: -8.3, Beloning: -3, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.4, loss: 0.37, aantal experiences: 100000
Bezig: 592 sec, ETA: 8 sec, Simulatie: 31000, Validation: -8.3, Beloning: 4, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.1, loss: 0.43, aantal experiences: 100000
Bezig: 597 sec, ETA: 3 sec, Simulatie: 31250, Validation: -8.3, Beloning: -12, Batch Size 64, Epsilon: 0.01, ID: xffe3781e2, penalty: 0.8, loss: 0.35, aantal experiences: 100000
Bezig: 601 sec, ETA: -1 sec, Simulatie: 31500, Validation: -8.3, Beloning: -3, Batch Size 64, Epsilon: 0.01, ID: xffe3781e3, penalty: 0.5, loss: 0.24, aantal experiences: 100000
